payload_source,payload_label,method_id,payload_hex,payload_len,generation_strategy,seed_payload_hex,note
llm_real,suffix_zero_02020202,14,0202020200,5,semantic_suffix_padding,02020202,
llm_real,open_close_boundaryff_close,14,0102ff02,4,semantic_boundary_command_included,,four door command bytes
llm_real,close_noop_open_noop,14,02000100,4,semantic_all_door_command_combination,,four door command bytes
llm_real,close_noop_invalid3_close,14,02000302,4,semantic_invalid_enum_included,,four door command bytes
llm_real,boundaryff_close_boundaryff_boundaryff,14,ff02ffff,4,semantic_boundary_command_included,,four door command bytes
llm_real,boundaryff_open_close_invalid3,14,ff010203,4,semantic_boundary_command_included,,four door command bytes
llm_real,close_invalid3_open_open,14,02030101,4,semantic_invalid_enum_included,,four door command bytes
llm_real,invalid3_open_boundaryff_boundaryff,14,0301ffff,4,semantic_boundary_command_included,,four door command bytes
llm_real,open_invalid3_boundaryff_open,14,0103ff01,4,semantic_boundary_command_included,,four door command bytes
llm_real,close_boundaryff_close_noop,14,02ff0200,4,semantic_boundary_command_included,,four door command bytes
llm_real,invalid3_boundaryff_close_invalid3,14,03ff0203,4,semantic_boundary_command_included,,four door command bytes
llm_real,invalid3_boundaryff_noop_close,14,03ff0002,4,semantic_boundary_command_included,,four door command bytes
llm_real,invalid3_boundaryff_invalid3_close,14,03ff0302,4,semantic_boundary_command_included,,four door command bytes
llm_real,invalid3_boundaryff_open_noop,14,03ff0100,4,semantic_boundary_command_included,,four door command bytes
llm_real,close_boundaryff_close_invalid3,14,02ff0203,4,semantic_boundary_command_included,,four door command bytes
llm_real,boundaryff_open_close_noop,14,ff010200,4,semantic_boundary_command_included,,four door command bytes
llm_real,close_invalid3_open_close,14,02030102,4,semantic_invalid_enum_included,,four door command bytes
llm_real,open_noop_invalid3_open,14,01000301,4,semantic_invalid_enum_included,,four door command bytes
llm_real,invalid3_close_close_open,14,03020201,4,semantic_invalid_enum_included,,four door command bytes
llm_real,boundaryff_boundaryff_boundaryff_invalid3,14,ffffff03,4,semantic_boundary_command_included,,four door command bytes
llm_real,boundaryff_boundaryff_open_invalid3,14,ffff0103,4,semantic_boundary_command_included,,four door command bytes
llm_real,invalid3_close_noop_noop,14,03020000,4,semantic_invalid_enum_included,,four door command bytes
llm_real,noop_close_noop_invalid3,14,00020003,4,semantic_invalid_enum_included,,four door command bytes
llm_real,invalid3_close_invalid3_boundaryff,14,030203ff,4,semantic_boundary_command_included,,four door command bytes
llm_real,boundaryff_noop_close_close,14,ff000202,4,semantic_boundary_command_included,,four door command bytes
llm_real,close_noop_boundaryff_noop,14,0200ff00,4,semantic_boundary_command_included,,four door command bytes
llm_real,boundaryff_invalid3_invalid3_invalid3,14,ff030303,4,semantic_boundary_command_included,,four door command bytes
llm_real,noop_invalid3_invalid3_invalid3,14,00030303,4,semantic_invalid_enum_included,,four door command bytes
llm_real,noop_close_boundaryff_noop,14,0002ff00,4,semantic_boundary_command_included,,four door command bytes
llm_real,close_open_close_invalid3,14,02010203,4,semantic_invalid_enum_included,,four door command bytes
llm_real,invalid3_close_invalid3_noop,14,03020300,4,semantic_invalid_enum_included,,four door command bytes
llm_real,invalid3_boundaryff_invalid3_invalid3,14,03ff0303,4,semantic_boundary_command_included,,four door command bytes
llm_real,close_open_boundaryff_noop,14,0201ff00,4,semantic_boundary_command_included,,four door command bytes
llm_real,noop_open_open_boundaryff,14,000101ff,4,semantic_boundary_command_included,,four door command bytes
llm_real,noop_invalid3_boundaryff_close,14,0003ff02,4,semantic_boundary_command_included,,four door command bytes
llm_real,noop_close_close_invalid3,14,00020203,4,semantic_invalid_enum_included,,four door command bytes
llm_real,boundaryff_noop_boundaryff_close,14,ff00ff02,4,semantic_boundary_command_included,,four door command bytes
llm_real,noop_noop_open_boundaryff,14,000001ff,4,semantic_boundary_command_included,,four door command bytes
llm_real,invalid3_boundaryff_boundaryff_open,14,03ffff01,4,semantic_boundary_command_included,,four door command bytes
llm_real,noop_noop_invalid3_open,14,00000301,4,semantic_invalid_enum_included,,four door command bytes
llm_real,noop_boundaryff_invalid3_boundaryff,14,00ff03ff,4,semantic_boundary_command_included,,four door command bytes
llm_real,open_close_close_boundaryff,14,010202ff,4,semantic_boundary_command_included,,four door command bytes
llm_real,boundaryff_open_noop_invalid3,14,ff010003,4,semantic_boundary_command_included,,four door command bytes
llm_real,boundaryff_boundaryff_boundaryff_boundaryff,14,ffffffff,4,semantic_boundary_command_included,,four door command bytes
llm_real,close_noop_close_boundaryff,14,020002ff,4,semantic_boundary_command_included,,four door command bytes
llm_real,invalid3_boundaryff_open_invalid3,14,03ff0103,4,semantic_boundary_command_included,,four door command bytes
llm_real,close_boundaryff_noop_noop,14,02ff0000,4,semantic_boundary_command_included,,four door command bytes
llm_real,noop_noop_close_boundaryff,14,000002ff,4,semantic_boundary_command_included,,four door command bytes
llm_real,invalid3_open_boundaryff_open,14,0301ff01,4,semantic_boundary_command_included,,four door command bytes
llm_real,open_invalid3_boundaryff_boundaryff,14,0103ffff,4,semantic_boundary_command_included,,four door command bytes
llm_real,close_boundaryff_close_close,14,02ff0202,4,semantic_boundary_command_included,,four door command bytes
llm_real,open_close_boundaryff_noop,14,0102ff00,4,semantic_boundary_command_included,,four door command bytes
llm_real,invalid3_invalid3_boundaryff_open,14,0303ff01,4,semantic_boundary_command_included,,four door command bytes
llm_real,open_noop_open_invalid3,14,01000103,4,semantic_invalid_enum_included,,four door command bytes
llm_real,noop_open_noop_noop,14,00010000,4,semantic_all_door_command_combination,,four door command bytes
llm_real,boundaryff_invalid3_noop_invalid3,14,ff030003,4,semantic_boundary_command_included,,four door command bytes
llm_real,invalid3_noop_close_invalid3,14,03000203,4,semantic_invalid_enum_included,,four door command bytes
llm_real,prefix_ff_00000000,14,ff00000000,5,semantic_prefix_padding,00000000,
llm_real,close_invalid3_open_noop,14,02030100,4,semantic_invalid_enum_included,,four door command bytes
llm_real,boundaryff_invalid3_open_invalid3,14,ff030103,4,semantic_boundary_command_included,,four door command bytes
llm_real,open_close_invalid3_close,14,01020302,4,semantic_invalid_enum_included,,four door command bytes
llm_real,invalid3_invalid3_invalid3_boundaryff,14,030303ff,4,semantic_boundary_command_included,,four door command bytes
llm_real,open_boundaryff_invalid3_close,14,01ff0302,4,semantic_boundary_command_included,,four door command bytes
llm_real,noop_noop_open_open,14,00000101,4,semantic_all_door_command_combination,,four door command bytes
llm_real,invalid3_close_invalid3_invalid3,14,03020303,4,semantic_invalid_enum_included,,four door command bytes
llm_real,noop_noop_invalid3_boundaryff,14,000003ff,4,semantic_boundary_command_included,,four door command bytes
llm_real,invalid3_invalid3_close_noop,14,03030200,4,semantic_invalid_enum_included,,four door command bytes
llm_real,boundaryff_boundaryff_noop_invalid3,14,ffff0003,4,semantic_boundary_command_included,,four door command bytes
llm_real,boundaryff_close_open_boundaryff,14,ff0201ff,4,semantic_boundary_command_included,,four door command bytes
llm_real,close_boundaryff_noop_boundaryff,14,02ff00ff,4,semantic_boundary_command_included,,four door command bytes
llm_real,close_boundaryff_invalid3_boundaryff,14,02ff03ff,4,semantic_boundary_command_included,,four door command bytes
llm_real,close_open_boundaryff_open,14,0201ff01,4,semantic_boundary_command_included,,four door command bytes
llm_real,noop_open_invalid3_invalid3,14,00010303,4,semantic_invalid_enum_included,,four door command bytes
radamsa_real,seed_01010101,14,01010101,4,seed,01010101,
radamsa_real,seed_02020202,14,02020202,4,seed,02020202,
radamsa_real,seed_00000000,14,00000000,4,seed,00000000,
radamsa_real,deterministic_random_5,14,472737f5c3,5,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,bit_flip_01010101_10,14,01010501,4,bit_flip,01010101,
radamsa_real,boundary_zero_fill_15,14,000000000000000000000000000000,15,boundary_fill,00000000,
radamsa_real,byte_flip_01010101_0_254,14,fe010101,4,byte_flip,01010101,
radamsa_real,deterministic_random_18,14,c60e3ad208ce5066441036e9,12,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,deterministic_random_34,14,f21415bb7cd011fac2,9,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,seed_concat_open_00000000,14,0000000001010101,8,seed_concat,00000000,
radamsa_real,bit_flip_01010101_14,14,01010901,4,bit_flip,01010101,
radamsa_real,ff_padding_01010101,14,01010101ffffffff,8,long_padding,01010101,
radamsa_real,bit_flip_00000000_26,14,00004000,4,bit_flip,00000000,
radamsa_real,bit_flip_01010101_17,14,01110101,4,bit_flip,01010101,
radamsa_real,deterministic_random_6,14,1a1761185b,5,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,insert_00000000_2_2,14,0000020000,5,byte_insertion,00000000,
radamsa_real,truncate_00000000_1,14,00,1,truncation,00000000,
radamsa_real,bit_flip_01010101_2,14,01010001,4,bit_flip,01010101,
radamsa_real,byte_flip_02020202_0_128,14,80020202,4,byte_flip,02020202,
radamsa_real,byte_flip_02020202_2_1,14,02020102,4,byte_flip,02020202,
radamsa_real,bit_flip_02020202_21,14,02220202,4,bit_flip,02020202,
radamsa_real,deterministic_random_29,14,43f880c32d81e91bdea04c,11,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,bit_flip_00000000_7,14,00000002,4,bit_flip,00000000,
radamsa_real,bit_flip_01010101_12,14,09010101,4,bit_flip,01010101,
radamsa_real,deterministic_random_49,14,71,1,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,deterministic_random_63,14,a54c7550edc0ef120275,10,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,byte_flip_02020202_1_128,14,02800202,4,byte_flip,02020202,
radamsa_real,deterministic_random_25,14,8740f88ddcf102,7,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,byte_flip_01010101_2_255,14,0101ff01,4,byte_flip,01010101,
radamsa_real,bit_flip_01010101_16,14,11010101,4,bit_flip,01010101,
radamsa_real,bit_flip_02020202_26,14,02024202,4,bit_flip,02020202,
radamsa_real,bit_flip_00000000_6,14,00000200,4,bit_flip,00000000,
radamsa_real,byte_flip_00000000_0_127,14,7f000000,4,byte_flip,00000000,
radamsa_real,bit_flip_01010101_5,14,01030101,4,bit_flip,01010101,
radamsa_real,deterministic_random_50,14,dcdb8c190ca6ff8ad603f817,12,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,bit_flip_00000000_30,14,00008000,4,bit_flip,00000000,
radamsa_real,byte_flip_02020202_2_254,14,0202fe02,4,byte_flip,02020202,
radamsa_real,byte_flip_02020202_0_127,14,7f020202,4,byte_flip,02020202,
radamsa_real,bit_flip_00000000_10,14,00000400,4,bit_flip,00000000,
radamsa_real,boundary_ff_fill_9,14,ffffffffffffffffff,9,boundary_fill,01010101,
radamsa_real,deterministic_random_62,14,436521,3,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,bit_flip_00000000_8,14,04000000,4,bit_flip,00000000,
radamsa_real,byte_flip_02020202_2_127,14,02027f02,4,byte_flip,02020202,
radamsa_real,deterministic_random_15,14,a5129ba22b88ba3e2976,10,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,insert_02020202_4_255,14,02020202ff,5,byte_insertion,02020202,
radamsa_real,bit_flip_02020202_13,14,020a0202,4,bit_flip,02020202,
radamsa_real,insert_00000000_1_2,14,0002000000,5,byte_insertion,00000000,
radamsa_real,deterministic_random_76,14,a3fa,2,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,deterministic_random_54,14,304b,2,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,bit_flip_02020202_3,14,02020203,4,bit_flip,02020202,
radamsa_real,bit_flip_00000000_22,14,00002000,4,bit_flip,00000000,
radamsa_real,byte_flip_00000000_3_127,14,0000007f,4,byte_flip,00000000,
radamsa_real,deterministic_random_52,14,00fc6343edc8,6,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,truncate_01010101_2,14,0101,2,truncation,01010101,
radamsa_real,insert_00000000_1_1,14,0001000000,5,byte_insertion,00000000,
radamsa_real,byte_flip_01010101_2_128,14,01018001,4,byte_flip,01010101,
radamsa_real,bit_flip_00000000_11,14,00000004,4,bit_flip,00000000,
radamsa_real,byte_flip_01010101_3_254,14,010101fe,4,byte_flip,01010101,
radamsa_real,deterministic_random_28,14,287400f4b8e0,6,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,bit_flip_00000000_16,14,10000000,4,bit_flip,00000000,
radamsa_real,bit_flip_02020202_15,14,0202020a,4,bit_flip,02020202,
radamsa_real,deterministic_random_35,14,c42020a879f28c2a,8,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,bit_flip_01010101_20,14,21010101,4,bit_flip,01010101,
radamsa_real,insert_02020202_1_1,14,0201020202,5,byte_insertion,02020202,
radamsa_real,seed_concat_close_01010101,14,0101010102020202,8,seed_concat,01010101,
radamsa_real,deterministic_random_78,14,6d8f021c13f1e2b0e7268b,11,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,bit_flip_00000000_4,14,02000000,4,bit_flip,00000000,
radamsa_real,boundary_ff_fill_10,14,ffffffffffffffffffff,10,boundary_fill,01010101,
radamsa_real,boundary_ff_fill_7,14,ffffffffffffff,7,boundary_fill,01010101,
radamsa_real,deterministic_random_42,14,12833c47ab,5,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,byte_flip_02020202_2_128,14,02028002,4,byte_flip,02020202,
radamsa_real,deterministic_random_4,14,b26c,2,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,ff_padding_02020202,14,02020202ffffffff,8,long_padding,02020202,
radamsa_real,insert_01010101_0_1,14,0101010101,5,byte_insertion,01010101,
radamsa_real,deterministic_random_39,14,731e3f3910560596,8,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,truncate_00000000_2,14,0000,2,truncation,00000000,
radamsa_real,deterministic_random_74,14,a2,1,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,deterministic_random_8,14,891ff9ec60148d,7,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,bit_flip_01010101_7,14,01010103,4,bit_flip,01010101,
radamsa_real,bit_flip_02020202_18,14,02021202,4,bit_flip,02020202,
radamsa_real,deterministic_random_47,14,897223,3,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,deterministic_random_24,14,9810626198ff,6,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,insert_02020202_4_0,14,0202020200,5,byte_insertion,02020202,
radamsa_real,insert_02020202_0_255,14,ff02020202,5,byte_insertion,02020202,
radamsa_real,insert_00000000_4_255,14,00000000ff,5,byte_insertion,00000000,
radamsa_real,deterministic_random_27,14,4b,1,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,byte_flip_02020202_3_128,14,02020280,4,byte_flip,02020202,
radamsa_real,deterministic_random_75,14,d4460b0055c5,6,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,bit_flip_02020202_1,14,02030202,4,bit_flip,02020202,
radamsa_real,byte_flip_02020202_0_254,14,fe020202,4,byte_flip,02020202,
radamsa_real,byte_flip_02020202_0_255,14,ff020202,4,byte_flip,02020202,
radamsa_real,byte_flip_02020202_3_127,14,0202027f,4,byte_flip,02020202,
radamsa_real,truncate_02020202_1,14,02,1,truncation,02020202,
radamsa_real,byte_flip_02020202_3_1,14,02020201,4,byte_flip,02020202,
radamsa_real,boundary_ff_fill_15,14,ffffffffffffffffffffffffffffff,15,boundary_fill,01010101,
radamsa_real,insert_02020202_3_0,14,0202020002,5,byte_insertion,02020202,
radamsa_real,deterministic_random_7,14,9a43ce0bba,5,deterministic_random_bytes,,radamsa-like random mutation
radamsa_real,bit_flip_02020202_29,14,02820202,4,bit_flip,02020202,
radamsa_real,boundary_zero_fill_13,14,00000000000000000000000000,13,boundary_fill,00000000,
radamsa_real,deterministic_random_23,14,caae,2,deterministic_random_bytes,,radamsa-like random mutation
